Neighborhood,unemploymentPct,povertyPct,pop,Violent Crimes,violentCrimePerCapita,violentCrimesPerThousandPpl,shootings,whitePct,blackPct,americanindiannativealaskanPct,asianPct,nativehawaiianpacificislanderPct,otherracePct,twoormoreracesPct,hispaniclatinoPct,unemploymentPctRank,povertyPctRank,violentCrimePerCapitaRank
Allston,5.04406153535,15.4787662568,19761.0,125,0.00632559081018,6.32559081018,,57.2744294317,5.80436212742,0.0657861444259,16.841252973,0.0,0.921006021962,2.94519508122,16.1479682202,9.0,9.0,7.0
Back Bay,2.51583888036,5.517539967,17577.0,136,0.00773738408147,7.73738408147,1.0,76.4180463105,4.61398418388,0.0796495420151,9.13694031974,0.0,0.364112192069,1.26870341924,8.11856403254,20.0,19.0,5.0
Beacon Hill,3.01649650725,2.1291133799,9305.0,27,0.00290166577109,2.90166577109,,87.2434175175,1.1714132187,0.0,5.79258463192,0.0,0.214938205266,1.42933906502,4.14830736163,19.0,22.0,18.0
Brighton,3.669085999,14.9054785631,47768.0,109,0.00228186233462,2.28186233462,,66.8774074694,4.0843242338,0.301457042371,15.340813934,0.0502428403952,0.724334282365,2.18975046056,10.4316697371,16.0,10.0,20.0
Charlestown,4.7027190165,21.562260494,18058.0,84,0.00465167792668,4.65167792668,,69.6367261048,8.62221729981,0.0,8.73850924798,0.0,0.465167792668,1.57271015616,10.9646693986,12.0,3.0,15.0
Dorchester,8.75538802625,20.1770670501,124489.0,1188,0.00954301183237,9.54301183237,41.0,22.0734362072,44.1420527115,0.399232060664,10.6089694672,0.0216886632554,3.94573014483,2.47813059788,16.3307601475,2.0,4.0,3.0
East Boston,6.78081975594,16.3486096601,44989.0,232,0.0051568161106,5.1568161106,2.0,32.0078241348,2.36724532664,0.0622374358176,3.58532085621,0.0,0.302296116829,3.74313721132,57.9319389184,5.0,8.0,10.0
Fenway,5.50610058988,18.8288202422,32210.0,132,0.00409810617821,4.09810617821,,61.4001862776,5.0201800683,0.149022042844,18.6743247439,0.0434647624961,0.381868984787,2.87798820242,11.4529649177,7.0,6.0,16.0
Hyde Park,6.35119572854,8.96349023465,35585.0,169,0.00474919207531,4.74919207531,5.0,25.9266544893,45.1173247155,0.115217085851,2.09638892792,0.0,0.986370661796,2.22284670507,23.5351974146,6.0,15.0,12.0
Jamaica Plain,4.69764582855,13.4954855,39207.0,188,0.00479506210626,4.79506210626,6.0,54.21990971,11.610171653,0.0,5.52197311705,0.0,0.56622541893,2.62963246359,25.4520876374,13.0,11.0,11.0
Leather District,3.8,8.7,5668.0,16,0.00282286520819,2.82286520819,,61.6090331687,2.50529287227,0.123500352858,22.9534227241,0.0,0.247000705716,3.81086803105,8.75088214538,15.0,16.0,19.0
Longwood Medical Area,5.46553361185,8.24798708697,5266.0,28,0.00531712875047,5.31712875047,2.0,71.6293201671,5.79187238891,0.322825674136,11.0520319028,0.0,0.683630839347,1.63311811622,8.88720091151,8.0,17.0,9.0
Mattapan,10.386521345,19.9150074172,24268.0,222,0.00914784901928,9.14784901928,8.0,6.13153123455,73.7225976595,0.0865337069392,2.34053074007,0.0,0.391462007582,1.4092632273,15.9180814241,1.0,5.0,4.0
Mission Hill,4.83058682635,31.1136766467,16700.0,78,0.00467065868263,4.67065868263,3.0,46.628742515,16.4251497006,0.0,16.5748502994,0.0,0.634730538922,1.53892215569,18.1976047904,11.0,2.0,13.0
North End,1.53772921928,3.6662567256,9107.0,19,0.00208630723619,2.08630723619,,90.8092675964,0.450203140441,0.0,3.14044141869,0.0,0.461183704842,1.54825958054,3.59064455913,22.0,20.0,21.0
Roslindale,6.79138737606,12.0087801983,28644.0,105,0.00366568914956,3.66568914956,3.0,51.0298840944,21.1143695015,0.352604384862,1.76302192431,0.0,0.80296048038,2.30414746544,22.6330121491,4.0,13.0,17.0
Roxbury,8.38884336221,33.2385916647,51252.0,655,0.0127799890736,12.7799890736,26.0,10.8795754312,53.047685944,0.158042612971,3.15304768594,0.0,1.45165066729,2.33942090065,28.970576758,3.0,1.0,2.0
South Boston,4.64000280426,17.8728968031,35660.0,166,0.00465507571509,4.65507571509,1.0,77.7117218172,5.15143017386,0.257992148065,4.53168816601,0.0,0.274817722939,1.57879977566,10.4935501963,14.0,7.0,14.0
South Boston Waterfront,3.08899371069,3.08899371069,2862.0,19,0.00663871418588,6.63871418588,,84.2068483578,1.53738644305,0.0,10.3074772886,0.0,0.0,3.00489168414,0.943396226415,18.0,21.0,6.0
South End,4.8912076621,11.8208983157,27251.0,160,0.00587134417086,5.87134417086,,52.2953286118,13.3903342997,0.0,16.6562694947,0.0,0.840336134454,1.87883013467,14.9389013247,10.0,14.0,8.0
West End,2.1,12.7,2371.0,70,0.0295234078448,29.5234078448,,65.2045550401,1.43399409532,0.0,24.5044285112,0.0,0.0,3.54280894137,5.31421341206,21.0,12.0,1.0
West Roxbury,3.40741881384,6.55804543376,32795.0,49,0.00149413020277,1.49413020277,,73.3526452203,8.82451593231,0.0,7.05595365147,0.0,0.692178685775,1.16786095441,8.90684555572,17.0,18.0,22.0
